model,train_observations,test_observations,test_total_return,test_annualized_return,test_annualized_volatility,test_sharpe,test_max_drawdown,test_var,test_cvar
quantum,1056,453,0.45975129360982225,0.23477862768890612,0.1370505316641241,1.7130807508597534,-0.08190939952031018,-0.013684572008784455,-0.018439900664704214
classical,1056,453,0.5001269614141624,0.25370473435459506,0.13757635063770338,1.8441013530203803,-0.08199782109424758,-0.014431466340772045,-0.018285828682228885
equal_weight,1056,453,0.47514802016628166,0.24202284114150063,0.11628118482771924,2.0813585749068406,-0.0733153578064708,-0.012016266850031014,-0.015742982133760262
minimum_variance,1056,453,0.17037624244684202,0.09167402374805866,0.11284299767676793,0.8124033004746423,-0.11973630349103637,-0.012029528668661464,-0.015153622307531324
