Date,AAPL,AMZN,CVX,GOOGL,JNJ,MSFT,NFLX,PFE,UNH,XOM
2019-01-02,37.46920394897461,76.95649719238281,79.87266540527344,52.2705078125,103.7909927368164,94.19316101074219,26.766000747680664,28.323177337646484,214.2296142578125,49.66474914550781
2019-01-03,33.73699188232422,75.01399993896484,78.3429183959961,50.82284164428711,102.14169311523438,90.72795104980469,27.1200008392334,27.53078842163086,208.3875274658203,48.90220260620117
2019-01-04,35.17721176147461,78.76950073242188,79.96647644042969,53.42973709106445,103.85598754882812,94.94764709472656,29.756999969482422,28.15945053100586,210.8246307373047,50.70521926879883
2019-01-07,35.098907470703125,81.47550201416016,81.00556945800781,53.323177337646484,103.18977355957031,95.0687484741211,31.534000396728516,28.31007194519043,211.22938537597656,50.96889877319336
2019-01-08,35.76799774169922,82.8290023803711,80.65198516845703,53.79151916503906,105.58651733398438,95.75806427001953,32.027000427246094,28.441043853759766,214.0536346435547,51.3394775390625
2019-01-09,36.375404357910156,82.97100067138672,81.73439025878906,53.607154846191406,104.74964904785156,97.12738037109375,31.996000289916992,28.38210678100586,214.36158752441406,51.610286712646484
2019-01-10,36.49166488647461,82.81099700927734,81.8642578125,53.4673957824707,105.3833999633789,96.50325775146484,32.465999603271484,27.70758819580078,215.4437713623047,51.346595764160156
2019-01-11,36.133392333984375,82.02799987792969,81.2076187133789,52.755706787109375,105.41588592529297,95.75806427001953,33.75899887084961,28.080869674682617,217.9072723388672,51.111427307128906
2019-01-14,35.59005355834961,80.8604965209961,80.61590576171875,52.1134033203125,104.22156524658203,95.05941009521484,33.29399871826172,27.74688148498535,218.25045776367188,51.04728698730469
2019-01-15,36.31846237182617,83.72799682617188,80.90454864501953,53.8480224609375,105.09903717041016,97.81668853759766,35.4640007019043,27.982637405395508,226.00169372558594,51.0757942199707
2019-01-16,36.762149810791016,84.18900299072266,80.38499450683594,53.9966926574707,104.0265884399414,98.16133117675781,35.138999938964844,27.57660675048828,230.0401153564453,51.05440902709961
2019-01-17,36.980438232421875,84.66100311279297,80.7890853881836,54.47297668457031,104.8796615600586,98.85065460205078,35.319000244140625,27.8123779296875,228.55320739746094,51.40361404418945
2019-01-18,37.20820236206055,84.80999755859375,82.52811431884766,54.87837600708008,106.17960357666016,100.33171844482422,33.90999984741211,27.851669311523438,233.5946502685547,52.01649475097656
2019-01-22,36.3730354309082,81.6084976196289,81.06329345703125,53.457481384277344,104.6440658569336,98.44078826904297,32.51599884033203,27.681396484375,233.76181030273438,51.23257827758789
2019-01-23,36.520137786865234,82.0009994506836,80.37782287597656,53.74393844604492,104.6440658569336,99.40019989013672,32.19900131225586,27.60936164855957,234.9320068359375,50.81210708618164
2019-01-24,36.230674743652344,82.74649810791016,81.90754699707031,53.7236213684082,103.2060317993164,98.92515563964844,32.66699981689453,26.816970825195312,234.14891052246094,50.88338088989258
2019-01-25,37.43123245239258,83.52850341796875,81.69829559326172,54.5914306640625,104.18096160888672,99.8287124633789,33.80500030517578,26.613956451416016,235.8382110595703,51.111427307128906
2019-01-28,37.084835052490234,81.89450073242188,80.94062042236328,53.51844024658203,104.7984390258789,97.88187408447266,33.566001892089844,25.887056350708008,234.7119903564453,50.76934814453125
2019-01-29,36.70044708251953,79.69400024414062,80.69528198242188,53.03274917602539,105.88711547851562,95.88845825195312,32.88999938964844,26.6990909576416,235.2135009765625,50.96177291870117
2019-01-30,39.208370208740234,83.52149963378906,81.5467529296875,54.41697692871094,106.95145416259766,99.09280395507812,34.066001892089844,27.22953224182129,237.87939453125,51.517635345458984
2019-01-31,39.4907341003418,85.9365005493164,82.73017120361328,55.799713134765625,108.12137603759766,97.27639770507812,33.95000076293945,28.04206085205078,237.7298583984375,52.22314453125
2019-02-01,39.50969696044922,81.3115005493164,85.41445922851562,55.43941116333008,109.03131103515625,95.73943328857422,33.98500061035156,28.326120376586914,236.4276885986328,54.10456085205078
2019-02-04,40.63196563720703,81.66549682617188,86.40306091308594,56.56938552856445,107.95887756347656,98.49665832519531,35.13399887084961,28.035463333129883,235.97903442382812,53.32064437866211
2019-02-05,41.3271598815918,82.94049835205078,86.21546173095703,57.08728790283203,107.95887756347656,99.87528228759766,35.58100128173828,27.817461013793945,234.3072967529297,53.869384765625
2019-02-06,41.34140396118164,82.01300048828125,85.78248596191406,55.65102767944336,108.05635833740234,98.76676940917969,35.21900177001953,27.962791442871094,237.1139678955078,53.634212493896484
