model,objective_score,expected_return,variance,volatility,sharpe_ratio,turnover,transaction_cost,constraint_budget_ok,constraint_long_only_ok,constraint_fully_invested_ok,constraint_sector_ok
Classical Baseline,0.3023510852730774,0.37176174584899163,0.09082132115182845,0.3013657597535401,1.2335898615457246,1.2000000000000002,0.024000000000000004,True,True,True,True
Static QUBO+,0.28206913957649515,0.34060672055239755,0.0690751619518047,0.2628215401214381,1.295961968699439,1.2,0.024,True,True,True,True
Regime-Aware QUBO+ (bear),0.19786784464772245,0.26691880237417637,0.04954246477204493,0.2225813666326203,1.1991965293965368,0.48,0.0096,True,True,True,True
Equal-Weight Benchmark,0.21776822207042412,0.2415830069925675,0.04762956984428672,0.21824199835111188,1.1069501233392491,0.0,0.0,True,True,True,True
